CD_LOJA;CD_MERCADORIA;ST_LIBERA_SEM_ESTOQUE;DS_CURVA_ABC;NR_QTDE_PONTO_RESSUPRIMENTO;NR_QTDE_ESTOQUE_SEGURANCA;NR_QTDE_ESTOQUE;NR_QTDE_RESERVA;DT_UltimaAlteracao;UsuarioUltimaAlteracao;ST_MERCADORIA_COMPRADA
1;1200;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-09-03 17:36:16.763;GRACILENE;
1;1201;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2013-11-18 15:05:38.410;ORANGE;
1;1202;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-02-09 08:42:14.090;GRACILENE;
1;1203;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-10-05 09:38:03.403;GRACILENE;
1;1204;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-06-04 10:54:52.140;GRACILENE;
1;1205;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-05-14 17:09:21.717;GRACILENE;
1;1206;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-09-16 09:53:18.827;GRACILENE;
1;1207;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-05-24 12:12:14.670;GRACILENE;
1;1208;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-07-08 17:45:14.123;GRACILENE;
1;1209;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-10-05 09:38:03.903;GRACILENE;
1;1210;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-09-27 11:57:11.450;GRACILENE;
1;1211;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-05-14 17:10:58.890;GRACILENE;
1;1212;S;;.0000000000;.0000000000;-34.0000000000;.0000000000;2015-10-16 09:49:20.413;ORANGE;
1;1213;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-05-14 17:16:04.733;GRACILENE;
1;1214;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2013-11-26 15:15:08.710;ORANGE;
1;1215;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-09-19 08:51:11.403;FLAVIA;
